enhancer_element	closest_gene_id	closest_gene_name
chr2:41036100-41037800	ENSG00000183023.18	SLC8A1
chr2:48038800-48040800	ENSG00000138081.22	FBXO11
chr2:74743300-74744700	ENSG00000135622.13	SEMA4F
chr2:111636200-111638600	ENSG00000153107.13	ANAPC1
chr2:160890400-160891600	ENSG00000136560.14	TANK
chr2:163812000-163813400	ENSG00000182263.14	FIGN
chr2:163856000-163857800	ENSG00000182263.14	FIGN
chr2:173815800-173817700	ENSG00000172845.18	SP3
chr2:188130200-188131600	ENSG00000144366.16	GULP1
chr2:188131800-188132900	ENSG00000144366.16	GULP1
chr2:205567000-205568800	ENSG00000118257.17	NRP2
chr2:213199500-213201200	ENSG00000030419.17	IKZF2
chr2:222763000-222764800	ENSG00000124003.13	MOGAT1
chr2:224326300-224329600	ENSG00000124019.10	FAM124B
chr2:237935600-237936800	ENSG00000184182.19	UBE2F
chr20:12993200-12995200	ENSG00000172296.13	SPTLC3
chr20:37705300-37707800	ENSG00000132792.19	CTNNBL1
chr20:43488400-43490200	ENSG00000185513.17	L3MBTL1
chr20:49961500-49964200	ENSG00000124216.4	SNAI1
chr20:51115200-51116400	ENSG00000026559.14	KCNG1
chr21:16389300-16391200	ENSG00000155313.16	USP25
chr21:29389100-29390500	ENSG00000156273.16	BACH1
chr21:29397300-29398700	ENSG00000156273.16	BACH1
chr21:30240100-30241900	ENSG00000156284.6	CLDN8
chr21:39781800-39783500	ENSG00000183067.5	IGSF5
chr22:21047300-21049100	ENSG00000187905.10	LRRC74B
chr22:36893800-36895800	ENSG00000100368.14	CSF2RB
chr3:5583500-5584700	ENSG00000134109.11	EDEM1
chr3:5641700-5643500	ENSG00000134109.11	EDEM1
chr3:5651100-5652200	ENSG00000134109.11	EDEM1
chr3:5652500-5653700	ENSG00000134109.11	EDEM1
chr3:5724900-5726400	ENSG00000134109.11	EDEM1
chr3:8839500-8840600	ENSG00000070950.10	RAD18
chr3:16747400-16749300	ENSG00000092345.14	DAZL
chr3:37872100-37873300	ENSG00000144677.15	CTDSPL
chr3:46195100-46196300	ENSG00000163823.4	CCR1
chr3:48346300-48347600	ENSG00000229453.2	SPINK8
chr3:54903400-54904500	ENSG00000144771.8	LRTM1
chr3:63582000-63583700	ENSG00000188817.8	SNTN
chr3:72480400-72481500	ENSG00000163602.11	RYBP
chr3:87076300-87080000	ENSG00000206538.9	VGLL3
chr3:87185500-87187500	ENSG00000083937.10	CHMP2B
chr3:107407000-107408900	ENSG00000138483.3	CCDC54
chr3:128500300-128502000	ENSG00000179348.12	GATA2
chr3:134128700-134130700	ENSG00000174640.15	SLCO2A1
chr3:141718800-141720000	ENSG00000114125.14	RNF7
chr3:142051100-142052400	ENSG00000114126.18	TFDP2
chr3:161713800-161715400	ENSG00000182447.4	OTOL1
chr3:164028100-164029700	ENSG00000090402.8	SI
chr3:174364600-174365900	ENSG00000177694.16	NAALADL2
chr3:174764100-174765600	ENSG00000177694.16	NAALADL2
chr3:174772800-174774200	ENSG00000177694.16	NAALADL2
chr3:174882800-174886000	ENSG00000177694.16	NAALADL2
chr3:174896400-174897900	ENSG00000177694.16	NAALADL2
chr4:38461500-38462800	ENSG00000109787.13	KLF3
chr4:39021300-39022600	ENSG00000121895.8	TMEM156
chr4:52966900-52969200	ENSG00000128045.7	RASL11B
chr4:61141900-61144100	ENSG00000150471.17	ADGRL3
chr4:61147900-61149400	ENSG00000150471.17	ADGRL3
chr4:74845500-74846900	ENSG00000174808.12	BTC
chr4:83861800-83863200	ENSG00000138678.11	GPAT3
chr4:109639000-109640100	ENSG00000138794.10	CASP6
chr4:139580900-139582900	ENSG00000145391.14	SETD7
chr4:148525900-148527100	ENSG00000151623.15	NR3C2
chr4:148644400-148646200	ENSG00000151623.15	NR3C2
chr4:169946000-169947600	ENSG00000198948.12	MFAP3L
chr4:174543300-174545800	ENSG00000164120.14	HPGD
chr4:184176200-184177600	ENSG00000164303.11	ENPP6
chr4:187504400-187505700	ENSG00000179059.10	ZFP42
chr5:21472800-21474000	ENSG00000154162.15	CDH12
chr5:39528500-39529900	ENSG00000153071.15	DAB2
chr5:63155500-63156800	ENSG00000186105.8	LRRC70
chr5:66540800-66542000	ENSG00000069020.18	MAST4
chr5:87145200-87146400	ENSG00000145715.15	RASA1
chr5:87240100-87241600	ENSG00000145715.15	RASA1
chr5:105885500-105886700	ENSG00000184349.14	EFNA5
chr5:112950000-112951700	ENSG00000172795.17	DCP2
chr5:134261300-134262800	ENSG00000113575.10	PPP2CA
chr5:137709200-137710300	ENSG00000146021.15	KLHL3
chr5:138691100-138692300	ENSG00000044115.21	CTNNA1
chr5:142039500-142041100	ENSG00000113552.16	GNPDA1
chr5:149557000-149558500	ENSG00000183111.12	ARHGEF37
chr5:153500800-153503100	ENSG00000155511.18	GRIA1
chr6:4499200-4500700	ENSG00000153046.18	CDYL
chr6:7570300-7572400	ENSG00000168566.13	SNRNP48
chr6:11089300-11091500	ENSG00000224531.6	SMIM13
chr6:17996000-17997200	ENSG00000137177.20	KIF13A
chr6:52897300-52898500	ENSG00000174156.15	GSTA3
chr6:53151400-53155300	ENSG00000137270.11	GCM1
chr6:81479400-81480800	ENSG00000112773.16	TENT5A
chr6:89517500-89518900	ENSG00000135299.17	ANKRD6
chr6:89519200-89520300	ENSG00000135299.17	ANKRD6
chr6:89520500-89521600	ENSG00000135299.17	ANKRD6
chr6:104898600-104900000	ENSG00000187772.8	LIN28B
chr6:104905100-104906700	ENSG00000187772.8	LIN28B
chr6:109887700-109888900	ENSG00000146360.9	GPR6
chr6:113436300-113438600	ENSG00000277443.3	MARCKS
chr6:116377900-116379100	ENSG00000111817.19	DSE
chr6:117609400-117611000	ENSG00000047932.14	GOPC
chr6:135990000-135992200	ENSG00000171408.14	PDE7B
chr6:139675300-139678100	ENSG00000164442.10	CITED2
chr6:146793000-146794700	ENSG00000118492.18	ADGB
chr6:150851700-150853000	ENSG00000120254.16	MTHFD1L
chr6:157745900-157747500	ENSG00000130340.17	SNX9
chr6:170736000-170737400	ENSG00000071994.11	PDCD2
chr7:8317800-8320000	ENSG00000003147.19	ICA1
chr7:12672300-12673900	ENSG00000122644.13	ARL4A
chr7:54940600-54941800	ENSG00000146648.20	EGFR
chr7:80482800-80484000	ENSG00000214415.4	GNAT3
chr7:80519200-80520900	ENSG00000214415.4	GNAT3
chr7:101421700-101423300	ENSG00000160963.14	COL26A1
chr7:113170500-113172000	ENSG00000214194.9	SMIM30
chr7:115647700-115650100	ENSG00000105967.16	TFEC
chr7:138423100-138424500	ENSG00000122779.18	TRIM24
chr7:150854100-150855200	ENSG00000002726.21	AOC1
chr7:152532000-152533700	ENSG00000055609.21	KMT2C
chr7:152637600-152639200	ENSG00000196584.3	XRCC2
chr7:155020500-155023300	ENSG00000157212.19	PAXIP1
chr8:618200-619300	ENSG00000104714.14	ERICH1
chr8:20117000-20118100	ENSG00000036565.15	SLC18A1
chr8:26244900-26247100	ENSG00000221914.11	PPP2R2A
chr8:38724300-38725700	ENSG00000147526.20	TACC1
chr8:60472600-60474100	ENSG00000104388.15	RAB2A
chr8:78643200-78645400	ENSG00000104427.12	ZC2HC1A
chr8:79746700-79749900	ENSG00000164683.18	HEY1
chr8:102442500-102445000	ENSG00000104517.13	UBR5
chr8:102669400-102670800	ENSG00000155090.15	KLF10
chr9:21196600-21199300	ENSG00000214042.1	IFNA7
chr9:75945500-75946700	ENSG00000099139.14	PCSK5
chr9:76343900-76345900	ENSG00000099139.14	PCSK5
chr9:76381300-76382500	ENSG00000135002.12	RFK
chr9:78991500-78993300	ENSG00000106829.20	TLE4
chr9:81452400-81454900	ENSG00000196781.16	TLE1
chr9:84259900-84261100	ENSG00000197506.8	SLC28A3
chr9:94281000-94282200	ENSG00000175787.17	ZNF169
chr9:96689400-96692200	ENSG00000158122.12	PRXL2C
chr9:106641700-106643400	ENSG00000148143.13	ZNF462
chr9:106711600-106712900	ENSG00000148143.13	ZNF462
chr9:106782500-106784000	ENSG00000148143.13	ZNF462
chr9:107553300-107554800	ENSG00000136826.15	KLF4
chr9:110605800-110608000	ENSG00000165124.18	SVEP1
chrX:7018500-7019600	ENSG00000101846.8	STS
chrX:55814900-55816400	ENSG00000083750.13	RRAGB
chrX:94161100-94162900	ENSG00000179083.7	FAM133A
chrX:106306100-106307400	ENSG00000157502.13	PWWP3B
chrX:113200700-113203300	ENSG00000126016.17	AMOT
chrX:130047200-130048300	ENSG00000085185.16	BCORL1
chrX:131937800-131939000	ENSG00000134602.16	STK26
chrX:132608200-132609600	ENSG00000076770.15	MBNL3
chr1:24588900-24591000	ENSG00000184454.7	NCMAP
chr1:42854300-42856100	ENSG00000164011.18	ZNF691
chr1:62231000-62232400	ENSG00000132854.19	KANK4
chr1:108847000-108848400	ENSG00000162641.20	AKNAD1
chr1:116446900-116449000	ENSG00000163399.16	ATP1A1
chr1:116638500-116639800	ENSG00000143061.18	IGSF3
chr1:151591500-151592900	ENSG00000143376.14	SNX27
chr1:176528100-176529700	ENSG00000116183.11	PAPPA2
chr1:229029800-229030900	ENSG00000168118.12	RAB4A
chr10:46311500-46312600	ENSG00000274209.6	ANTXRL
chr10:59955700-59956900	ENSG00000108091.11	CCDC6
chr10:84541900-84543200	ENSG00000107771.17	CCSER2
chr10:102830100-102831500	ENSG00000148795.7	CYP17A1
chr10:103488000-103490200	ENSG00000107954.10	NEURL1
chr10:103544000-103545100	ENSG00000107954.10	NEURL1
chr10:110415600-110416800	ENSG00000138166.6	DUSP5
chr10:119682300-119683400	ENSG00000151929.10	BAG3
chr10:122450600-122451900	ENSG00000254636.1	ARMS2
chr10:126239100-126240300	ENSG00000148848.15	ADAM12
chr11:47866700-47868400	ENSG00000030066.13	NUP160
chr11:57296500-57298100	ENSG00000149115.14	TNKS1BP1
chr11:65708100-65709800	ENSG00000172977.13	KAT5
chr11:96261600-96262900	ENSG00000184384.14	MAML2
chr11:123151900-123153100	ENSG00000166250.12	CLMP
chr11:124772500-124773600	ENSG00000120458.13	MSANTD2
chr12:80211400-80212600	ENSG00000165899.12	OTOGL
chr12:92874900-92876800	ENSG00000102189.17	EEA1
chr12:114783900-114785700	ENSG00000135111.16	TBX3
chr12:131874700-131876600	ENSG00000177169.10	ULK1
chr13:21472700-21474000	ENSG00000180776.16	ZDHHC20
chr13:24650400-24651500	ENSG00000075673.12	ATP12A
chr14:31386900-31388000	ENSG00000129493.15	HEATR5A
chr14:31385300-31386900	ENSG00000129493.15	HEATR5A
chr14:53262500-53263800	ENSG00000100523.16	DDHD1
chr14:59223200-59224500	ENSG00000100592.16	DAAM1
chr14:65339500-65340800	ENSG00000033170.17	FUT8
chr14:75637200-75638400	ENSG00000119686.10	FLVCR2
chr15:62995500-62996800	ENSG00000140416.23	TPM1
chr15:70177200-70179300	ENSG00000140332.17	TLE3
chr15:74331400-74332700	ENSG00000140481.15	CCDC33
chr15:100886800-100888700	ENSG00000184254.17	ALDH1A3
chr16:12226500-12227700	ENSG00000048471.14	SNX29
chr16:24528200-24530200	ENSG00000122257.20	RBBP6
chr16:55659900-55661100	ENSG00000103546.19	SLC6A2
chr16:80618300-80619700	ENSG00000168589.15	DYNLRB2
chr16:81098000-81099100	ENSG00000140905.11	GCSH
chr16:85542700-85544000	ENSG00000131149.19	GSE1
chr17:8193300-8194700	ENSG00000196544.8	BORCS6
chr17:9233600-9234800	ENSG00000065320.9	NTN1
chr17:12725600-12726700	ENSG00000141052.18	MYOCD
chr17:40709000-40710600	ENSG00000167916.5	KRT24
chr17:76603500-76604900	ENSG00000070731.11	ST6GALNAC2
chr18:11940700-11942000	ENSG00000154889.17	MPPE1
chr19:2815100-2816300	ENSG00000172006.12	ZNF554
chr19:14008900-14010200	ENSG00000132005.9	RFX1
chr19:23310300-23311600	ENSG00000283201.1	RP11-15H20.8
chr19:39602400-39603900	ENSG00000105198.11	LGALS13
chr19:39682700-39683800	ENSG00000006659.13	LGALS14
chr19:42896300-42897700	ENSG00000231924.10	PSG1
chr19:42969500-42971000	ENSG00000221878.13	PSG7
chr19:52691800-52692900	ENSG00000269825.2	CTD-3099C6.13
chr19:52861300-52863300	ENSG00000204604.13	ZNF468
chr19:53606100-53607200	ENSG00000204595.1	DPRX
chr19:53662100-53663500	ENSG00000204595.1	DPRX
chr2:10736000-10737700	ENSG00000143882.12	ATP6V1C2
chr2:15362100-15363500	ENSG00000151779.13	NBAS
chr2:20111600-20113200	ENSG00000068697.7	LAPTM4A
chr2:28549800-28551300	ENSG00000163803.13	PLB1
chr2:64783100-64784300	ENSG00000179833.4	SERTAD2
chr2:70027000-70028100	ENSG00000169564.7	PCBP1
chr2:105850500-105851700	ENSG00000071051.14	NCK2
chr2:151933600-151934800	ENSG00000182389.20	CACNB4
chr2:164892600-164893700	ENSG00000169507.9	SLC38A11
chr2:174065100-174066800	ENSG00000172845.18	SP3
chr2:181753400-181754700	ENSG00000188452.15	CERKL
chr2:182931500-182932800	ENSG00000162998.5	FRZB
chr2:222786200-222787400	ENSG00000123983.15	ACSL3
chr20:1481500-1482900	ENSG00000196209.13	SIRPB2
chr20:13031400-13033200	ENSG00000172296.13	SPTLC3
chr20:41021800-41023300	ENSG00000198900.7	TOP1
chr20:40983900-40985100	ENSG00000198900.7	TOP1
chr20:57302200-57303900	ENSG00000054796.13	SPO11
chr21:39052100-39053800	ENSG00000183527.12	PSMG1
chr21:42968600-42970400	ENSG00000160199.15	PKNOX1
chr22:21067200-21068900	ENSG00000187905.10	LRRC74B
chr22:23150400-23151600	ENSG00000100228.14	RAB36
chr22:36875900-36877600	ENSG00000100365.16	NCF4
chr22:37554500-37555800	ENSG00000128283.7	CDC42EP1
chr22:44687300-44688600	ENSG00000186654.21	PRR5
chr3:16791400-16792700	ENSG00000154822.18	PLCL2
chr3:31168500-31170200	ENSG00000144644.15	GADL1
chr3:111854400-111855700	ENSG00000144824.21	PHLDB2
chr3:120466500-120467800	ENSG00000163430.12	FSTL1
chr3:128442700-128443900	ENSG00000179407.3	DNAJB8
chr3:129636300-129638000	ENSG00000172765.18	TMCC1
chr3:134130800-134131900	ENSG00000174640.15	SLCO2A1
chr3:177432500-177434700	ENSG00000177565.18	TBL1XR1
chr4:37529500-37531200	ENSG00000154274.15	C4orf19
chr4:37813100-37814800	ENSG00000169299.14	PGM2
chr4:47466700-47468100	ENSG00000169019.11	COMMD8
chr4:88929200-88930900	ENSG00000138640.15	FAM13A
chr4:128540200-128542000	ENSG00000164040.18	PGRMC2
chr4:138946900-138949100	ENSG00000151014.6	NOCT
chr4:148781900-148783200	ENSG00000151623.15	NR3C2
chr4:175447100-175448800	ENSG00000150625.16	GPM6A
chr5:34766100-34767400	ENSG00000205838.14	TTC23L
chr5:34773900-34775100	ENSG00000205838.14	TTC23L
chr5:38602900-38604100	ENSG00000113594.10	LIFR
chr5:71580200-71581700	ENSG00000131844.17	MCCC2
chr5:78695200-78696400	ENSG00000145685.14	LHFPL2
chr5:146209900-146211400	ENSG00000091009.8	RBM27
chr5:149085300-149086500	ENSG00000169247.14	SH3TC2
chr6:4598300-4599700	ENSG00000153046.18	CDYL
chr6:30866300-30868100	ENSG00000204580.14	DDR1
chr6:41764900-41766000	ENSG00000096088.16	PGC
chr6:53475500-53477000	ENSG00000001084.13	GCLC
chr6:106542800-106544000	ENSG00000112297.18	CRYBG1
chr6:113483200-113484900	ENSG00000277443.3	MARCKS
chr6:113492400-113493700	ENSG00000277443.3	MARCKS
chr6:129542200-129543800	ENSG00000146376.11	ARHGAP18
chr6:157684300-157686200	ENSG00000130340.17	SNX9
chr6:168322900-168324300	ENSG00000164488.12	DACT2
chr7:17943000-17944400	ENSG00000071189.21	SNX13
chr7:22649400-22650600	ENSG00000105889.16	STEAP1B
chr7:23025000-23027200	ENSG00000122591.13	FAM126A
chr7:92479600-92480700	ENSG00000242950.7	ERVW-1
chr8:6600600-6602000	ENSG00000091879.14	ANGPT2
chr8:47614400-47616000	ENSG00000164808.17	SPIDR
chr8:102714500-102716300	ENSG00000155090.15	KLF10
chr9:75173200-75174300	ENSG00000134996.12	OSTF1
chr9:89626700-89628100	ENSG00000130222.11	GADD45G
chr9:100334700-100336200	ENSG00000136891.14	TEX10
chr9:110036700-110038500	ENSG00000157654.19	PALM2AKAP2
chr9:121595300-121596700	ENSG00000136848.17	DAB2IP
chr9:124141500-124142700	ENSG00000119408.17	NEK6
chrX:7200400-7201700	ENSG00000101846.8	STS
chrX:134651500-134652800	ENSG00000170965.10	PLAC1
chr1:12443100-12444200	ENSG00000048707.15	VPS13D
chr1:28120500-28121700	ENSG00000158161.16	EYA3
chr1:36025600-36028000	ENSG00000092850.12	TEKT2
chr1:47214300-47215500	ENSG00000162367.11	TAL1
chr1:47263100-47264300	ENSG00000162367.11	TAL1
chr1:51222700-51224700	ENSG00000123091.5	RNF11
chr1:64221100-64222200	ENSG00000177414.14	UBE2U
chr1:114543700-114544900	ENSG00000197323.12	TRIM33
chr1:120105200-120106400	ENSG00000134250.20	NOTCH2
chr1:147654600-147656000	ENSG00000162836.12	ACP6
chr1:152071500-152073600	ENSG00000182898.4	TCHHL1
chr1:187869800-187871100	ENSG00000116711.10	PLA2G4A
chr1:192954800-192956200	ENSG00000116750.14	UCHL5
chr1:193395300-193396600	ENSG00000162630.6	B3GALT2
chr1:203781100-203782300	ENSG00000058673.17	ZC3H11A
chr1:223302400-223305400	ENSG00000143502.16	SUSD4
chr10:24736700-24738200	ENSG00000107863.19	ARHGAP21
chr10:25327900-25329600	ENSG00000151025.11	GPR158
chr10:26361000-26362700	ENSG00000077420.16	APBB1IP
chr10:30719900-30721300	ENSG00000151033.10	LYZL2
chr10:126785400-126789000	ENSG00000154493.20	C10orf90
chr11:9335100-9336500	ENSG00000166471.11	TMEM41B
chr11:43167000-43168200	ENSG00000166181.13	API5
chr11:57116800-57118000	ENSG00000183908.7	LRRC55
chr11:117133300-117135200	ENSG00000168092.14	PAFAH1B2
chr11:123272100-123273300	ENSG00000166250.12	CLMP
chr12:22021200-22022500	ENSG00000111726.13	CMAS
chr12:42012200-42013500	ENSG00000151233.11	GXYLT1
chr12:64361700-64364200	ENSG00000185306.13	C12orf56
chr12:91888700-91890500	ENSG00000133639.6	BTG1
chr12:91891400-91894900	ENSG00000133639.6	BTG1
chr13:19560000-19562200	ENSG00000132958.17	TPTE2
chr13:19808600-19809700	ENSG00000121390.19	PSPC1
chr13:45953400-45954600	ENSG00000123200.17	ZC3H13
chr13:48610000-48611200	ENSG00000152207.8	CYSLTR2
chr13:48777300-48778700	ENSG00000152207.8	CYSLTR2
chr13:48919300-48921500	ENSG00000102531.16	FNDC3A
chr13:81339200-81340400	ENSG00000136158.12	SPRY2
chr14:34642700-34644500	ENSG00000129515.20	SNX6
chr14:70112100-70113200	ENSG00000100678.19	SLC8A3
chr14:90108800-90110400	ENSG00000152315.5	KCNK13
chr14:96130600-96131800	ENSG00000168398.7	BDKRB2
chr14:101313800-101315000	ENSG00000197406.7	DIO3
chr15:38606600-38607800	ENSG00000172575.12	RASGRP1
chr15:50545800-50548000	ENSG00000170236.16	USP50
chr15:64794100-64795500	ENSG00000166831.9	RBPMS2
chr15:70380100-70381900	ENSG00000140332.17	TLE3
chr16:49676300-49678300	ENSG00000102935.12	ZNF423
chr16:81101600-81104200	ENSG00000140905.11	GCSH
chr16:81129300-81131400	ENSG00000140905.11	GCSH
chr17:18648500-18649700	ENSG00000189375.12	TBC1D28
chr17:64434200-64435400	ENSG00000271605.6	MILR1
chr17:72795700-72797300	ENSG00000133195.11	SLC39A11
chr17:73663100-73664200	ENSG00000069188.17	SDK2
chr18:2190200-2191400	ENSG00000101574.15	METTL4
chr19:11627500-11628800	ENSG00000198551.10	ZNF627
chr19:12452500-12454900	ENSG00000268870.1	CTD-3105H18.16
chr19:23301200-23303300	ENSG00000283201.1	RP11-15H20.8
chr19:23781400-23782600	ENSG00000196172.9	ZNF681
chr19:24006900-24008300	ENSG00000213096.11	ZNF254
chr19:45748500-45750100	ENSG00000237452.3	MEIOSIN
chr19:48265400-48266900	ENSG00000178150.10	ZNF114
chr19:50758100-50761900	ENSG00000142511.4	GPR32
chr19:50763300-50765200	ENSG00000142511.4	GPR32
chr2:36341700-36343500	ENSG00000150938.10	CRIM1
chr2:48672500-48673800	ENSG00000242441.8	GTF2A1L
chr2:62387100-62388500	ENSG00000186889.10	TMEM17
chr2:75716200-75717600	ENSG00000005436.14	GCFC2
chr2:85567900-85569300	ENSG00000118640.11	VAMP8
chr2:88427800-88430100	ENSG00000214336.5	FOXI3
chr2:102132500-102135300	ENSG00000115594.12	IL1R1
chr2:106516800-106518000	ENSG00000254126.8	CD8B2
chr2:113476300-113477600	ENSG00000184492.6	FOXD4L1
chr2:128040400-128041700	ENSG00000136715.19	SAP130
chr2:224354400-224355600	ENSG00000124019.10	FAM124B
chr2:227743600-227745200	ENSG00000284635.1	SCYGR8
chr2:235365500-235367100	ENSG00000157985.19	AGAP1
chr20:17997500-17998600	ENSG00000125871.14	MGME1
chr20:31506400-31507900	ENSG00000101294.18	HM13
