enhancer_element	closest_gene_id	closest_gene_name
chr14:45050700-45051800	ENSG00000179454.14	KLHL28
chr14:46780900-46782000	ENSG00000165496.5	RPL10L
chr14:46939100-46940200	ENSG00000139915.21	MDGA2
chr14:50996200-50997300	ENSG00000100504.17	PYGL
chr14:55320700-55321800	ENSG00000178974.11	FBXO34
chr14:58086700-58087800	ENSG00000139971.15	ARMH4
chr14:58709300-58710400	ENSG00000165617.15	DACT1
chr14:65550600-65551700	ENSG00000033170.17	FUT8
chr14:66823100-66824200	ENSG00000171723.16	GPHN
chr14:75217600-75218700	ENSG00000170348.9	TMED10
chr14:76790500-76791600	ENSG00000071246.11	VASH1
chr14:77678200-77679300	ENSG00000100601.10	ALKBH1
chr14:77950100-77951200	ENSG00000063761.16	ADCK1
chr14:78586000-78587100	ENSG00000021645.20	NRXN3
chr14:82340000-82341100	ENSG00000071537.14	SEL1L
chr14:87166300-87167400	ENSG00000054983.17	GALC
chr14:88307700-88308800	ENSG00000100433.16	KCNK10
chr15:25059600-25060700	ENSG00000273173.5	SNURF
chr15:25074000-25075100	ENSG00000273173.5	SNURF
chr15:25075500-25076600	ENSG00000273173.5	SNURF
chr15:25168500-25169600	ENSG00000114062.22	UBE3A
chr15:25170300-25171400	ENSG00000114062.22	UBE3A
chr15:25234700-25235800	ENSG00000114062.22	UBE3A
chr15:25240500-25241600	ENSG00000114062.22	UBE3A
chr15:25472400-25473500	ENSG00000114062.22	UBE3A
chr15:25709800-25710900	ENSG00000206190.12	ATP10A
chr15:27499600-27500700	ENSG00000182256.13	GABRG3
chr15:32755600-32756700	ENSG00000166923.12	GREM1
chr15:36183000-36184100	ENSG00000186073.14	CDIN1
chr15:44150000-44151100	ENSG00000171877.21	FRMD5
chr15:45355700-45356800	ENSG00000171766.17	GATM
chr15:51676900-51678000	ENSG00000104112.9	SCG3
chr15:51693700-51694800	ENSG00000104112.9	SCG3
chr15:52934300-52935400	ENSG00000169856.9	ONECUT1
chr15:59043900-59045000	ENSG00000157450.16	RNF111
chr15:73906500-73907600	ENSG00000129038.16	LOXL1
chr15:86482300-86483400	ENSG00000273540.5	AGBL1
chr15:91192400-91193500	ENSG00000185518.12	SV2B
chr16:3289300-3290400	ENSG00000006194.10	ZNF263
chr16:3379500-3380600	ENSG00000232196.4	MTRNR2L4
chr16:3407800-3408900	ENSG00000103343.13	ZNF174
chr16:5837500-5838600	ENSG00000078328.23	RBFOX1
chr16:6433400-6434500	ENSG00000078328.23	RBFOX1
chr16:6618500-6619600	ENSG00000078328.23	RBFOX1
chr16:7016000-7017100	ENSG00000078328.23	RBFOX1
chr16:7512800-7513900	ENSG00000078328.23	RBFOX1
chr16:9939400-9940500	ENSG00000183454.18	GRIN2A
chr16:13290400-13291500	ENSG00000237515.9	SHISA9
chr16:13807100-13808200	ENSG00000175595.16	ERCC4
chr16:13968200-13969300	ENSG00000175595.16	ERCC4
chr16:24371300-24372400	ENSG00000006116.4	CACNG3
chr16:25676400-25677500	ENSG00000182601.7	HS3ST4
chr16:31762900-31764000	ENSG00000197302.10	ZNF720
chr16:31914700-31915800	ENSG00000185947.15	ZNF267
chr16:34950900-34952000	ENSG00000259680.5	IGHV3OR16-17
chr16:68558200-68559300	ENSG00000184939.16	ZFP90
chr16:68562500-68563600	ENSG00000184939.16	ZFP90
chr16:68567700-68568800	ENSG00000184939.16	ZFP90
chr16:75853300-75854400	ENSG00000283755.2	CPHXL
chr16:76356100-76357200	ENSG00000152910.19	CNTNAP4
chr16:76999300-77000400	ENSG00000103111.15	MON1B
chr16:82861200-82862300	ENSG00000140945.17	CDH13
chr17:7429600-7430700	ENSG00000283439.4	SPEM3
chr17:14885800-14886900	ENSG00000109099.16	PMP22
chr17:31448600-31449700	ENSG00000131242.18	RAB11FIP4
chr17:32586900-32588000	ENSG00000176749.9	CDK5R1
chr17:50998100-50999200	ENSG00000008294.21	SPAG9
chr17:54365000-54366100	ENSG00000141198.16	TOM1L1
chr17:58579300-58580400	ENSG00000108387.16	SEPTIN4
chr17:68740300-68741400	ENSG00000108950.12	FAM20A
chr17:68930300-68931400	ENSG00000141338.14	ABCA8
chr17:68935200-68936300	ENSG00000141338.14	ABCA8
chr17:77032200-77033300	ENSG00000129657.16	SEC14L1
chr17:77637500-77638600	ENSG00000184640.20	SEPTIN9
chr17:77693400-77694500	ENSG00000184640.20	SEPTIN9
chr18:3783800-3784900	ENSG00000170579.17	DLGAP1
chr18:4849500-4850600	ENSG00000231824.4	AKAIN1
chr18:5078600-5079700	ENSG00000231824.4	AKAIN1
chr18:5490400-5491500	ENSG00000082397.18	EPB41L3
chr18:10786300-10787400	ENSG00000154864.13	PIEZO2
chr18:24502100-24503200	ENSG00000134489.7	HRH4
chr18:26854000-26855100	ENSG00000171885.18	AQP4
chr18:37494800-37495900	ENSG00000101489.20	CELF4
chr18:37511400-37512500	ENSG00000101489.20	CELF4
chr18:37556400-37557500	ENSG00000101489.20	CELF4
chr18:40449500-40450600	ENSG00000078142.13	PIK3C3
chr18:40812800-40813900	ENSG00000078142.13	PIK3C3
chr18:44959300-44960400	ENSG00000132874.15	SLC14A2
chr18:46632200-46633300	ENSG00000167210.17	LOXHD1
chr18:57186100-57187200	ENSG00000228075.5	BOD1L2
chr18:61375100-61376200	ENSG00000101542.10	CDH20
chr18:61465900-61467000	ENSG00000101542.10	CDH20
chr18:61678800-61679900	ENSG00000101542.10	CDH20
chr18:73943400-73944500	ENSG00000141665.13	FBXO15
chr18:76735700-76736800	ENSG00000130856.17	ZNF236
chr18:79323100-79324200	ENSG00000166377.20	ATP9B
chr18:80022300-80023400	ENSG00000141759.15	TXNL4A
chr19:5503500-5504600	ENSG00000105428.6	ZNRF4
chr19:7444500-7445600	ENSG00000104880.19	ARHGEF18
chr19:8188700-8189800	ENSG00000090661.12	CERS4
chr19:9377300-9378400	ENSG00000188629.13	ZNF177
chr19:9410300-9411400	ENSG00000174652.20	ZNF266
chr19:9417900-9419000	ENSG00000174652.20	ZNF266
chr19:9524200-9525300	ENSG00000130818.12	ZNF426
chr19:9983300-9984400	ENSG00000080573.7	COL5A3
chr19:18900800-18901900	ENSG00000223802.9	CERS1
chr19:22976200-22977300	ENSG00000269067.2	ZNF728
chr19:24320400-24321500	ENSG00000213096.11	ZNF254
chr19:28371900-28373000	ENSG00000169021.6	UQCRFS1
chr19:29318300-29319400	ENSG00000169021.6	UQCRFS1
chr19:36588800-36589900	ENSG00000161298.18	ZNF382
chr19:36731100-36732200	ENSG00000189042.14	ZNF567
chr19:37145700-37146800	ENSG00000197050.11	ZNF420
chr19:37242400-37243500	ENSG00000188283.12	ZNF383
chr19:37440700-37441800	ENSG00000196437.12	ZNF569
chr19:37547900-37549000	ENSG00000171817.17	ZNF540
chr19:37607700-37608800	ENSG00000171817.17	ZNF540
chr19:40015400-40016500	ENSG00000187187.14	ZNF546
chr19:44031400-44032500	ENSG00000159885.14	ZNF222
chr19:44288200-44289300	ENSG00000159917.17	ZNF235
chr19:46085000-46086100	ENSG00000204869.8	IGFL4
chr19:50520300-50521400	ENSG00000204653.10	ASPDH
chr19:52038300-52039400	ENSG00000256087.7	ZNF432
chr19:52332200-52333300	ENSG00000167554.15	ZNF610
chr19:52363100-52364200	ENSG00000221923.9	ZNF880
chr19:53210100-53211200	ENSG00000197497.11	ZNF665
chr19:53353900-53355000	ENSG00000203326.12	ZNF525
chr19:56422800-56423900	ENSG00000198440.9	ZNF583
chr19:56614900-56616000	ENSG00000197951.10	ZNF71
chr19:57473100-57474200	ENSG00000268163.1	AC004076.9
chr19:57512400-57513500	ENSG00000152439.13	ZNF773
chr19:57537200-57538300	ENSG00000251369.9	ZNF550
chr19:57539800-57540900	ENSG00000251369.9	ZNF550
chr19:57544600-57545700	ENSG00000251369.9	ZNF550
chr19:57590700-57591800	ENSG00000171649.12	ZIK1
chr19:57926200-57927300	ENSG00000196724.13	ZNF418
chr19:57974500-57976700	ENSG00000177025.3	C19orf18
chr19:57991800-57992900	ENSG00000166704.12	ZNF606
chr19:58119400-58120500	ENSG00000121413.13	ZSCAN18
chr19:58133800-58134900	ENSG00000181894.15	ZNF329
chr19:58137800-58138900	ENSG00000181894.15	ZNF329
chr19:58186000-58188200	ENSG00000171606.18	ZNF274
chr19:58201500-58202600	ENSG00000171606.18	ZNF274
chr19:58207500-58208600	ENSG00000198131.14	ZNF544
chr19:58211800-58212900	ENSG00000198131.14	ZNF544
chr19:58433700-58434800	ENSG00000131849.12	ZNF132
chr2:1941400-1942500	ENSG00000186487.20	MYT1L
chr2:2779400-2780500	ENSG00000186487.20	MYT1L
chr2:3428100-3429200	ENSG00000171853.16	TRAPPC12
chr2:7409400-7410500	ENSG00000151692.15	RNF144A
chr2:14976800-14977900	ENSG00000151779.13	NBAS
chr2:20393500-20394600	ENSG00000055917.16	PUM2
chr2:30973300-30974400	ENSG00000158089.15	GALNT14
chr2:41759000-41760100	ENSG00000162878.13	PKDCC
chr2:41821400-41822500	ENSG00000162878.13	PKDCC
chr2:47387400-47388500	ENSG00000095002.15	MSH2
chr2:50940700-50941800	ENSG00000179915.24	NRXN1
chr2:51781100-51782200	ENSG00000179915.24	NRXN1
chr2:53852800-53853900	ENSG00000119737.6	GPR75
chr2:60560400-60561500	ENSG00000119866.22	BCL11A
chr2:63626800-63627900	ENSG00000014641.21	MDH1
chr2:68340300-68341400	ENSG00000119865.9	CNRIP1
chr2:76120400-76121500	ENSG00000005436.14	GCFC2
chr2:76850300-76851400	ENSG00000176204.14	LRRTM4
chr2:80296700-80297800	ENSG00000162951.11	LRRTM1
chr2:96176400-96177500	ENSG00000158050.5	DUSP2
chr2:98848200-98849300	ENSG00000196872.12	CRACDL
chr2:100538900-100540000	ENSG00000115539.14	PDCL3
chr2:115477700-115478800	ENSG00000175497.17	DPP10
chr2:115846600-115847700	ENSG00000175497.17	DPP10
chr2:125904200-125905300	ENSG00000136732.16	GYPC
chr2:126458000-126459100	ENSG00000136732.16	GYPC
chr2:135394500-135395600	ENSG00000121988.18	ZRANB3
chr2:138164800-138165900	ENSG00000150540.14	HNMT
chr2:140464500-140465600	ENSG00000168702.18	LRP1B
chr2:148950800-148951900	ENSG00000168280.18	KIF5C
chr2:154848800-154849900	ENSG00000162989.5	KCNJ3
chr2:157388000-157389100	ENSG00000115165.10	CYTIP
chr2:177073900-177075000	ENSG00000170144.21	HNRNPA3
chr2:188802400-188803500	ENSG00000168542.16	COL3A1
chr2:190423000-190424100	ENSG00000151690.15	MFSD6
chr2:190740000-190741100	ENSG00000138386.17	NAB1
chr2:199966100-199967200	ENSG00000162972.10	MAIP1
chr2:214323700-214324800	ENSG00000174453.10	VWC2L
chr2:220308200-220309300	ENSG00000114923.17	SLC4A3
chr2:233131600-233132700	ENSG00000168918.14	INPP5D
chr2:235186700-235187800	ENSG00000130147.16	SH3BP4
chr20:2482400-2483500	ENSG00000125835.19	SNRPB
chr20:5432000-5433100	ENSG00000101292.8	PROKR2
chr20:9682800-9683900	ENSG00000101349.17	PAK5
chr20:12406400-12407500	ENSG00000132640.15	BTBD3
chr20:12847200-12848300	ENSG00000172296.13	SPTLC3
chr20:14193600-14194700	ENSG00000125848.10	FLRT3
chr20:17411200-17412300	ENSG00000125864.14	BFSP1
chr20:17455600-17456700	ENSG00000125864.14	BFSP1
chr20:17456800-17457900	ENSG00000125864.14	BFSP1
chr20:20336800-20337900	ENSG00000173404.5	INSM1
chr20:31997500-31998600	ENSG00000101331.17	CCM2L
chr20:36193200-36194300	ENSG00000088367.23	EPB41L1
chr20:42155400-42156500	ENSG00000196090.12	PTPRT
chr20:42359600-42360700	ENSG00000196090.12	PTPRT
chr20:43298500-43299600	ENSG00000196090.12	PTPRT
chr20:46043000-46044100	ENSG00000124140.14	SLC12A5
chr20:48104600-48105700	ENSG00000196562.14	SULF2
chr20:53108700-53109800	ENSG00000182463.16	TSHZ2
chr20:59679400-59680500	ENSG00000087495.17	PHACTR3
chr20:59720400-59721500	ENSG00000087495.17	PHACTR3
chr21:7289700-7290800	ENSG00000273590.4	SMIM11B
chr21:7935700-7936800	ENSG00000276289.5	KCNE1B
chr21:13295000-13296100	ENSG00000166351.11	POTED
chr21:15954400-15955500	ENSG00000155313.16	USP25
chr21:20501300-20502400	ENSG00000154654.15	NCAM2
chr21:37676100-37677200	ENSG00000157542.11	KCNJ6
chr21:40910100-40911200	ENSG00000171587.15	DSCAM
chr21:45241000-45242100	ENSG00000186866.17	POFUT2
chr21:46175700-46176800	ENSG00000160284.15	SPATC1L
chr22:20740000-20741100	ENSG00000241973.11	PI4KA
chr22:34209700-34210800	ENSG00000133424.22	LARGE1
chr22:36625800-36626900	ENSG00000166862.7	CACNG2
chr22:48361400-48362500	ENSG00000219438.9	TAFA5
chr22:48713600-48714700	ENSG00000219438.9	TAFA5
chr22:48725700-48726800	ENSG00000219438.9	TAFA5
chr22:49708500-49709600	ENSG00000100425.18	BRD1
chr3:856100-857200	ENSG00000134115.13	CNTN6
chr3:2095400-2096500	ENSG00000144619.15	CNTN4
chr3:5357200-5358300	ENSG00000134109.11	EDEM1
chr3:7375500-7376600	ENSG00000196277.16	GRM7
chr3:10094400-10095500	ENSG00000163705.13	FANCD2OS
chr3:10906900-10908000	ENSG00000157103.12	SLC6A1
chr3:11976000-11977100	ENSG00000157152.17	SYN2
chr3:11998200-11999300	ENSG00000157152.17	SYN2
chr3:14560200-14561300	ENSG00000144596.13	GRIP2
chr3:20779000-20780100	ENSG00000129810.15	SGO1
chr3:34038400-34039500	ENSG00000170248.15	PDCD6IP
chr3:48764500-48765600	ENSG00000114302.16	PRKAR2A
chr3:49631800-49632900	ENSG00000164062.13	APEH
chr3:50691100-50692200	ENSG00000088538.13	DOCK3
chr3:54018700-54019800	ENSG00000157445.15	CACNA2D3
chr3:56362100-56363200	ENSG00000187672.14	ERC2
chr3:56539400-56540500	ENSG00000180376.17	CCDC66
chr3:74071500-74072600	ENSG00000121440.15	PDZRN3
chr3:74351000-74352100	ENSG00000113805.8	CNTN3
chr3:78702400-78703500	ENSG00000169855.20	ROBO1
chr3:99887900-99889000	ENSG00000168386.19	FILIP1L
chr3:107248600-107249700	ENSG00000138483.3	CCDC54
chr3:109052300-109053400	ENSG00000114487.10	MORC1
chr3:116478000-116479100	ENSG00000185565.12	LSAMP
chr3:117370600-117371700	ENSG00000185565.12	LSAMP
chr3:121693400-121694500	ENSG00000180353.11	HCLS1
chr3:127297800-127298900	ENSG00000239620.3	PRR20G
chr3:144675200-144676300	ENSG00000181744.9	DIPK2A
chr3:145653700-145654800	ENSG00000152952.12	PLOD2
chr3:156071800-156072900	ENSG00000169282.18	KCNAB1
chr3:160271000-160272100	ENSG00000068885.15	IFT80
chr3:167492700-167493800	ENSG00000114204.15	SERPINI2
chr3:171237900-171239000	ENSG00000154310.17	TNIK
chr3:180187300-180188400	ENSG00000114757.19	PEX5L
chr3:181590300-181591400	ENSG00000181449.4	SOX2
chr3:186373700-186374800	ENSG00000058866.15	DGKG
chr4:370900-372000	ENSG00000131127.14	ZNF141
chr4:441700-442800	ENSG00000182903.16	ZNF721
chr4:453500-454600	ENSG00000182903.16	ZNF721
chr4:4238500-4239600	ENSG00000132406.12	TMEM128
chr4:6132900-6134000	ENSG00000152969.20	JAKMIP1
chr4:7269800-7270900	ENSG00000184985.16	SORCS2
chr4:13786200-13787300	ENSG00000038219.13	BOD1L1
chr4:16461100-16462200	ENSG00000169744.13	LDB2
chr4:17461100-17462200	ENSG00000151552.12	QDPR
chr4:19442800-19443900	ENSG00000145147.20	SLIT2
chr4:19544400-19545500	ENSG00000145147.20	SLIT2
chr4:21881600-21882700	ENSG00000185774.16	KCNIP4
chr4:22322600-22323700	ENSG00000152990.14	ADGRA3
chr4:36038900-36040000	ENSG00000047365.12	ARAP2
chr4:36148300-36149400	ENSG00000047365.12	ARAP2
chr4:36191800-36192900	ENSG00000047365.12	ARAP2
chr4:47040200-47041300	ENSG00000163288.14	GABRB1
chr4:47061000-47062100	ENSG00000163288.14	GABRB1
chr4:51810600-51811700	ENSG00000109184.15	DCUN1D4
chr4:66754400-66755500	ENSG00000145241.11	CENPC
chr4:82507600-82508700	ENSG00000249242.8	TMEM150C
chr4:85815500-85816600	ENSG00000138639.18	ARHGAP24
chr4:90115700-90116800	ENSG00000184305.15	CCSER1
chr4:91179600-91180700	ENSG00000184305.15	CCSER1
chr4:92248800-92249900	ENSG00000152208.13	GRID2
chr4:95345900-95347000	ENSG00000182168.15	UNC5C
chr4:95466200-95467300	ENSG00000182168.15	UNC5C
chr4:98701400-98702500	ENSG00000168785.8	TSPAN5
chr4:102089700-102090800	ENSG00000138821.14	SLC39A8
chr4:108757900-108759000	ENSG00000164089.9	ETNPPL
chr4:114757800-114758900	ENSG00000174607.11	UGT8
chr4:121320500-121321600	ENSG00000186867.11	QRFPR
chr4:121765900-121767000	ENSG00000164112.14	SMIM43
chr4:154936000-154937100	ENSG00000151962.8	RBM46
chr4:164713800-164714900	ENSG00000248771.5	SMIM31
chr4:175644600-175645700	ENSG00000150625.16	GPM6A
chr4:175681000-175682100	ENSG00000150625.16	GPM6A
chr4:186363300-186364400	ENSG00000088926.14	F11
chr5:5377600-5378700	ENSG00000164151.12	ICE1
chr5:6198700-6199800	ENSG00000133398.4	MED10
chr5:7529000-7530100	ENSG00000078295.17	ADCY2
chr5:11452400-11453500	ENSG00000169862.19	CTNND2
chr5:11603200-11604300	ENSG00000169862.19	CTNND2
chr5:11633700-11634800	ENSG00000169862.19	CTNND2
chr5:13502800-13503900	ENSG00000039139.11	DNAH5
chr5:13538100-13539200	ENSG00000039139.11	DNAH5
chr5:27796700-27797800	ENSG00000113100.10	CDH9
chr5:59450600-59451700	ENSG00000113448.19	PDE4D
chr5:60730900-60732000	ENSG00000035499.13	DEPDC1B
chr5:60794500-60795600	ENSG00000164181.14	ELOVL7
chr5:68989900-68991000	ENSG00000145740.19	SLC30A5
chr5:82283400-82284500	ENSG00000186468.13	RPS23
chr5:82857600-82858700	ENSG00000174695.10	TMEM167A
chr5:84095200-84096300	ENSG00000164176.13	EDIL3
chr5:89262100-89263200	ENSG00000081189.16	MEF2C
chr5:92443500-92444600	ENSG00000113369.9	ARRDC3
chr5:111423100-111424200	ENSG00000164211.13	STARD4
chr5:117264400-117265500	ENSG00000092421.17	SEMA6A
