           chr     start       end closest.active.gene
165041    chr1  92377765  92411061                BRDT
108173    chr1 180517304 180586474                XPR1
23620     chr1 202778988 202835054           LOC148709
130397    chr1 202769622 202814205               KDM5B
153827    chr1 202774913 202807500               KDM5B
164988    chr1 202774000 202808972               KDM5B
193232    chr1 202774937 202822335               KDM5B
23768     chr1 203059581 203103910              ADORA1
293241    chr1 202984544 203086943              PPFIA4
93040     chr1 212642474 212672511                NENF
94086     chr1 212642274 212672081                NENF
112258    chr1 212659161 212692505             TMEM206
118438    chr1 212657928 212672260             TMEM206
149729    chr1 212650014 212793336                ATF3
151395    chr1 212655250 212674077                NENF
183291    chr1 212625191 212672680                NENF
184943    chr1 212624629 212672643                NENF
187045    chr1 212643094 212672303                NENF
23355     chr1 212688295 212787437                ATF3
86601     chr1 212712256 212754421                ATF3
149729.1  chr1 212650014 212793336                ATF3
150944    chr1 212704797 212784665                ATF3
183504    chr1 212718723 212743220                ATF3
184064    chr1 212718438 212788472                ATF3
187464    chr1 212719490 212742766                ATF3
42009     chr1 216856089 216889292               ESRRG
247801    chr1 216670284 216905687               ESRRG
251509    chr1 216858210 216898626               ESRRG
256717    chr1 216824008 216903104               ESRRG
275701    chr1 216855534 216902431               ESRRG
1034     chr10   3440852   3476774              PITRM1
200680   chr10   3436704   3469377              PITRM1
234345   chr10   3435342   3529717              PITRM1
161504   chr10   8402188   8462010                TAF3
175383   chr10   8406130   8448206                TAF3
180221   chr10   8406215   8450517               GATA3
279685   chr10   8343799   8449257               GATA3
280250   chr10   8348278   8487300               GATA3
139762   chr10 127780339 127825434               FANK1
149780   chr10 127722660 127826346               FANK1
150698   chr10 127724153 127826329               FANK1
172705   chr10 127778457 127814878               FANK1
221437   chr10 127737126 127844056               FANK1
289005   chr10 127729913 127953965              ADAM12
23535    chr11  69887578  69927102                ANO1
306960   chr11  69880428  69927865                ANO1
23337    chr11  72927621  73046504               P2RY6
81093    chr11  72945210  73056332               P2RY6
123685   chr11  73005536  73047007            ARHGEF17
124655   chr11  73005661  73046978            ARHGEF17
142376   chr11  72946591  73057293            ARHGEF17
146900   chr11  72979012  73054911            ARHGEF17
159034   chr11  72999242  73046921            ARHGEF17
185226   chr11  72999604  73047521            ARHGEF17
231348   chr11  72999139  73046948            ARHGEF17
233588   chr11  72999128  73047339            ARHGEF17
237585   chr11  72999729  73046632            ARHGEF17
252798   chr11  72999682  73047057            ARHGEF17
256666   chr11  72952393  73077044            ARHGEF17
276662   chr11  72982102  73046281            ARHGEF17
285945   chr11  72998679  73046843            ARHGEF17
301757   chr11  72994256  73120957                RELT
97663    chr11  73880493  73920383               PPME1
97663.1  chr11  73880493  73920383               PPME1
23453    chr11  76278050  76383011              LRRC32
166759   chr11  76277801  76354539              LRRC32
169440   chr11  76277801  76354539              LRRC32
23568    chr11 108459409 108519587               EXPH5
52422    chr11 108459509 108489503               EXPH5
314277   chr11 108472700 108492308               EXPH5
211847   chr12  19553464  19602159               AEBP2
305548   chr12  31854753  31911027                AMN1
306169   chr12  31854647  31916916                AMN1
100953   chr12  38517022  38544531              ALG10B
236285   chr12  38517636  38544376              ALG10B
307369   chr12  38514562  38533266              ALG10B
138015   chr12  39807554  39838457              KIF21A
247880   chr12  39764932  39859797              KIF21A
251628   chr12  39770361  39839248              KIF21A
256332   chr12  39770399  39838958              KIF21A
256626   chr12  39665691  39839271              KIF21A
257274   chr12  39775275  39838976              KIF21A
257834   chr12  39751701  39860364              KIF21A
275636   chr12  39766207  39838717              KIF21A
298158   chr12  39780110  39838238              KIF21A
298932   chr12  39779534  39838595              KIF21A
65449    chr12  69783521  69832904              YEATS4
113315   chr12  69805332  69837371                FRS2
118090   chr12  69808581  69819795                FRS2
138729   chr12  69808665  69847847                FRS2
143042   chr12  69783745  69822860              YEATS4
244394   chr12  69806298  69827020                FRS2
263597   chr12  69798240  69823232                FRS2
126459   chr12  71959162  71982354               THAP2
225025   chr12  71949951  71988547               THAP2
256302   chr12  71944322  71988872               THAP2
266804   chr12 105323848 105354071             SLC41A2
3508     chr12 109105674 109138364              CORO1C
42979    chr12 109010347 109140272              SELPLG
82448    chr12 109078012 109146470              CORO1C
123976   chr12 109114769 109137977              CORO1C
125035   chr12 109114665 109137990              CORO1C
149048   chr12 109082717 109138978              CORO1C
149818   chr12 109056458 109138834              CORO1C
152528   chr12 109077485 109138652              CORO1C
164682   chr12 109083890 109137881              CORO1C
183983   chr12 108998770 109138493              SELPLG
217551   chr12 109123061 109138389              CORO1C
413      chr12 115173018 115245170                TBX3
23386    chr12 115173868 115273386                TBX3
67630    chr12 115205413 115245464                TBX3
82185    chr13 111157698 111284250               RAB20
282957   chr13 111151094 111290618               RAB20
293571   chr13 111682980 111721042             ARHGEF7
294797   chr13 111682360 111715006             ARHGEF7
67064    chr14  76043473  76117231              FLVCR2
78836    chr14  76043482  76118878              FLVCR2
139571   chr14  76043678  76086753              FLVCR2
148997   chr14  76043996  76087130              FLVCR2
150017   chr14  76032092  76087210              FLVCR2
150784   chr14  76043875  76087285              FLVCR2
151555   chr14  76044912  76087250              FLVCR2
164523   chr14  78102125  78135556              SPTLC2
210234   chr15  82228604  82251866               MEX3B
139466   chr15  93340457  93403244              ASB9P1
170255   chr15  93338323  93430646        LOC100507217
217938   chr15  93339958  93428804        LOC100507217
76961    chr17   7918923   7983921             ALOX15B
127680   chr17   7918766   7944848             ALOX15B
307461   chr17   7920154   7944896             ALOX15B
7868     chr17  36404459  36454039           LOC440434
13513    chr17  36431841  36454147              MRPL45
24256    chr17  36417048  36454096              MRPL45
91426    chr17  36430435  36454377              MRPL45
101226   chr17  36432077  36454186              MRPL45
141052   chr17  36381320  36448393           LOC440434
203894   chr17  36425184  36446772              MRPL45
318422   chr17  36432589  36455087              MRPL45
39839    chr17  39204427  39220110            KRTAP2-2
23815    chr17  61943335  61996290                CSH1
264595   chr17  63389260  63635572               AXIN2
13099    chr18   3011692   3054078               LPIN2
24498    chr18   2997738   3039327               LPIN2
28106    chr18   3011776   3053987               LPIN2
49343    chr18   3011846   3053516               LPIN2
50253    chr18   3013500   3063555               LPIN2
57981    chr18   3007967   3059948               LPIN2
61521    chr18   2958197   3038175               LPIN2
71208    chr18   2957271   3038247               LPIN2
75953    chr18   2956102   3074829               LPIN2
78686    chr18   2953804   3063525               LPIN2
81928    chr18   3011989   3063216               LPIN2
82198    chr18   2957237   3063277               LPIN2
141175   chr18   3013369   3068685               LPIN2
152191   chr18   2958470   3074694               LPIN2
160491   chr18   3028934   3094329               LPIN2
164833   chr18   3008122   3052360               LPIN2
201001   chr18   3028759   3062143               LPIN2
242515   chr18   2932105   3063897               LPIN2
243395   chr18   3028717   3063496               LPIN2
243903   chr18   3009731   3063481               LPIN2
216318   chr18  51673256  51756616             SNORA37
260191   chr18  51672695  51712359             SNORA37
314536   chr18  51673891  51712144             SNORA37
172222   chr19    679128    704070              PRSSL1
225437   chr19    679273    704026              PRSSL1
226300   chr19    678869    704974              PRSSL1
274253   chr19    679185    704968              PRSSL1
277333   chr19    679283    705073              PRSSL1
278373   chr19    679208    703965              PRSSL1
148640   chr19  24156970  24168771              ZNF726
263732   chr19  39790825  39812755                IL29
23583    chr19  40029582  40100741             LGALS13
231860   chr19  43315270  43358190        LOC100289650
297667   chr19  43323198  43362924               PSG10
174637   chr19  43458526  43479703                PSG7
188674   chr19  43458753  43536610               PSG11
231786   chr19  43467353  43509117               PSG11
188674.1 chr19  43458753  43536610               PSG11
231786.1 chr19  43467353  43509117               PSG11
231578   chr19  43666519  43711429                PSG5
297554   chr19  43668104  43712132                PSG5
164804   chr19  52903461  52948842              ZNF534
164930   chr19  52984365  53002775              ZNF578
165052   chr19  53227795  53266468              ZNF611
23878    chr19  53495026  53519410             HERV-V1
23878.1  chr19  53495026  53519410             HERV-V1
189172   chr19  53514664  53562332             HERV-V2
293222    chr2  16023751  16193911              MYCNOS
296256    chr2  16047786  16063241                MYCN
153835    chr2  74961016  74974949              SEMA4F
261658    chr2  74941878  74977835              SEMA4F
309559    chr2 161746747 161778038                TANK
310223    chr2 161746696 161777722                TANK
258048    chr2 206395993 206455126                NRP2
146684    chr2 223616280 223673006               ACSL3
192987    chr2 223571162 223678940              MOGAT1
193929    chr2 223559763 223665686               FARSB
164874    chr2 238843554 238852241               UBE2F
209971    chr2 238798825 238856185               UBE2F
302438    chr2 238771186 238865470               RAMP1
23940    chr20  12947971  12992439              SPTLC3
125080   chr20  48544486  48578040              RNF114
24259    chr20  49708034  49759987               KCNG1
115468   chr20  49696634  49740437               KCNG1
141989   chr20  49732091  49761639               KCNG1
153694   chr20  49732604  49746432               KCNG1
170773   chr21  17755938  17829219              MIR99A
181147   chr21  17672733  17929052              MIR99A
181858   chr21  17650490  17828365              MIR99A
182309   chr21  17650457  17912309              MIR99A
122959   chr21  30745217  30771641               BACH1
123192   chr21  30747404  30771462               BACH1
138732   chr21  30733949  30770372               BACH1
222915   chr21  30747968  30771192               BACH1
300651   chr21  30733384  30770501               BACH1
306768   chr21  30748356  30768887               BACH1
122959.1 chr21  30745217  30771641               BACH1
123192.1 chr21  30747404  30771462               BACH1
138732.1 chr21  30733949  30770372               BACH1
222915.1 chr21  30747968  30771192               BACH1
300651.1 chr21  30733384  30770501               BACH1
23412    chr21  41096669  41156689               IGSF5
23536    chr22  21355121  21429186              SLC7A4
99999    chr22  21383336  21409175              P2RX6P
297500   chr22  21394525  21402410              P2RX6P
139424   chr22  37249236  37337953              CSF2RB
152174   chr22  37252379  37334852              CSF2RB
209958   chr22  37252093  37324750              CSF2RB
272978   chr22  37255598  37315612              CSF2RB
276172   chr22  37248870  37334854              CSF2RB
277217   chr22  37248500  37320176              CSF2RB
134710    chr3   8881124   8936652               RAD18
156984    chr3   8878094   8954246               RAD18
161281    chr3   8878167   8932726                OXTR
201437    chr3   8863353   8958378               RAD18
232249    chr3   8878164   8934897                OXTR
233405    chr3   8878153   8934390                OXTR
238608    chr3   8878381   8897145                OXTR
250896    chr3   8878207   8945807               RAD18
259702    chr3   8863303   9008923               RAD18
313355    chr3   8879145   8945465               RAD18
302849    chr3  37893691  37914781              CTDSPL
3789      chr3  46224213  46265954                CCR1
43336     chr3  46223993  46270760                CCR1
150253    chr3  46224017  46264607                CCR1
151283    chr3  46224115  46264522                CCR1
172542    chr3  46224832  46278595                CCR1
225641    chr3  46224214  46265918                CCR1
226352    chr3  46224218  46278616                CCR1
273963    chr3  46229101  46278846                CCR1
23507     chr3  54892161  54938925               WNT5A
202794    chr3  54870561  54941616               LRTM1
221658    chr3  54887793  54953454               LRTM1
221891    chr3  54850566  55038542               LRTM1
230171    chr3  54903720  54952794               LRTM1
232540    chr3  54903323  54952721               WNT5A
319252    chr3  54887273  54947178               WNT5A
23669     chr3  72494629  72542395                RYBP
292917    chr3  87118029  87139478               VGLL3
221915    chr3 107115229 107151547              CCDC54
230184    chr3 107110810 107151831                 BBX
231143    chr3 107110951 107151732                 BBX
23905     chr3 128200620 128226831               GATA2
50811     chr3 128200879 128224732               GATA2
188601    chr3 128198687 128226476               GATA2
181904    chr3 174574530 174626694            NAALADL2
182347    chr3 174574458 174626885            NAALADL2
181904.1  chr3 174574530 174626694            NAALADL2
182347.1  chr3 174574458 174626885            NAALADL2
156875    chr4  39023002  39050613             TMEM156
305762    chr4  39023341  39048897             TMEM156
203568    chr4  53821989  53864045             RASL11B
165099    chr4  84769560  84788920              AGPAT9
216152    chr4 110466401 110625922            CCDC109B
64801     chr4 140465799 140518565               MGST2
164472    chr4 170830377 170880834              MFAP3L
23617     chr4 175442261 175518771                HPGD
265519    chr4 175433236 175478291                HPGD
267673    chr4 175417401 175478534                HPGD
19245     chr5  39493220  39548613                DAB2
23972     chr5  39518403  39545939                DAB2
105314    chr5  39501339  39528671                DAB2
188723    chr5  39493912  39548769                DAB2
310648    chr5  39517333  39585270                DAB2
310912    chr5  39518343  39601401                DAB2
45458     chr5  86412896  86448546             MIR4280
54841     chr5  86394697  86448497             MIR4280
92601     chr5  86407784  86446953             MIR4280
126603    chr5  86393476  86453441             MIR4280
138924    chr5  86395222  86465992             MIR4280
157108    chr5  86398786  86449224             MIR4280
161137    chr5  86395081  86466253             MIR4280
185749    chr5  86408310  86452734             MIR4280
189581    chr5  86407907  86449603             MIR4280
191450    chr5  86403636  86451721             MIR4280
201746    chr5  86408143  86449349             MIR4280
234799    chr5  86407653  86449182             MIR4280
250301    chr5  86395165  86466422             MIR4280
259847    chr5  86394501  86461247             MIR4280
313570    chr5  86408432  86449164             MIR4280
318916    chr5  86407782  86449354             MIR4280
320405    chr5  86407868  86448875             MIR4280
262224    chr5  86523322  86650854               RASA1
262491    chr5 112286355 112315923                DCP2
13608     chr5 138020606 138067792              CTNNA1
166415    chr5 141373284 141497932              GNPDA1
169106    chr5 141373284 141497932              GNPDA1
1300      chr5 148922385 148943736             CSNK1A1
8186      chr5 148923213 148945456             CSNK1A1
11232     chr5 148928417 148944651             CSNK1A1
13648     chr5 148922448 148943826             CSNK1A1
14957     chr5 148922669 148943900             CSNK1A1
17494     chr5 148928717 148943413             CSNK1A1
18406     chr5 148928728 148943425             CSNK1A1
19962     chr5 148928411 148943544             CSNK1A1
28520     chr5 148922464 148943726             CSNK1A1
30832     chr5 148928545 148943286             CSNK1A1
31906     chr5 148923187 148943033             CSNK1A1
32169     chr5 148928544 148996564            ARHGEF37
34873     chr5 148927233 148943092             CSNK1A1
37971     chr5 148928169 148945157             CSNK1A1
40051     chr5 148926507 148943711             CSNK1A1
42845     chr5 148922388 148944340             CSNK1A1
44609     chr5 148922457 148944253             CSNK1A1
45675     chr5 148928439 148944713             CSNK1A1
47129     chr5 148928727 148942859             CSNK1A1
47565     chr5 148928496 148942188             CSNK1A1
48089     chr5 148895947 148943847             CSNK1A1
48572     chr5 148928506 148943687             CSNK1A1
49783     chr5 148928263 148943516             CSNK1A1
51950     chr5 148926288 148944800             CSNK1A1
55149     chr5 148928238 148944774             CSNK1A1
65861     chr5 148926643 148943892             CSNK1A1
67852     chr5 148922277 148943494             CSNK1A1
72844     chr5 148926362 148946267             CSNK1A1
73623     chr5 148860824 148945640             CSNK1A1
77280     chr5 148925423 148943434             CSNK1A1
78382     chr5 148922038 148944832             CSNK1A1
82391     chr5 148925349 148991446            ARHGEF37
86370     chr5 148922384 148945256             CSNK1A1
88542     chr5 148922485 148943848             CSNK1A1
93868     chr5 148928096 148944504             CSNK1A1
94901     chr5 148928212 148944490             CSNK1A1
99191     chr5 148928318 148943023             CSNK1A1
105059    chr5 148923102 148945268             CSNK1A1
108529    chr5 148893264 148943725             CSNK1A1
110783    chr5 148924780 148943444             CSNK1A1
113112    chr5 148928531 148943322             CSNK1A1
113971    chr5 148922802 148962126             CSNK1A1
115881    chr5 148928581 148943263             CSNK1A1
116497    chr5 148928636 148943506             CSNK1A1
124431    chr5 148928565 148944721             CSNK1A1
125246    chr5 148928455 148944724             CSNK1A1
127550    chr5 148926876 148944114             CSNK1A1
129947    chr5 148922549 148946740             CSNK1A1
131437    chr5 148928230 148943505             CSNK1A1
132452    chr5 148928059 148944441             CSNK1A1
143151    chr5 148928595 148944124             CSNK1A1
145305    chr5 148928849 148944020             CSNK1A1
145825    chr5 148928836 148944045             CSNK1A1
147487    chr5 148926127 148944952             CSNK1A1
148059    chr5 148853553 148945332             CSNK1A1
153174    chr5 148897127 148946413             CSNK1A1
155142    chr5 148922698 148944966             CSNK1A1
165764    chr5 148922580 148943838             CSNK1A1
168926    chr5 148928195 148967453            ARHGEF37
169806    chr5 148928511 148967642            ARHGEF37
171153    chr5 148895951 148943457             CSNK1A1
171581    chr5 148928453 148943734             CSNK1A1
171855    chr5 148928374 148944116             CSNK1A1
174873    chr5 148922199 148944718             CSNK1A1
175635    chr5 148926357 148944558             CSNK1A1
178662    chr5 148928352 148944783             CSNK1A1
179119    chr5 148928352 148944783             CSNK1A1
180107    chr5 148927323 148944737             CSNK1A1
181354    chr5 148893376 148943264             CSNK1A1
182269    chr5 148925358 148942923             CSNK1A1
182784    chr5 148922875 148942239             CSNK1A1
187119    chr5 148928457 148944145             CSNK1A1
189596    chr5 148922657 148944977             CSNK1A1
191923    chr5 148928530 148944202             CSNK1A1
193817    chr5 148922814 148943486             CSNK1A1
202543    chr5 148928668 148944257             CSNK1A1
212474    chr5 148894742 148945600             CSNK1A1
216343    chr5 148871694 148956358             CSNK1A1
227689    chr5 148926347 148944676             CSNK1A1
228282    chr5 148922447 148945111             CSNK1A1
228787    chr5 148894443 148945449             CSNK1A1
230020    chr5 148927992 148945144             CSNK1A1
230866    chr5 148928188 148944508             CSNK1A1
232046    chr5 148928302 148944256             CSNK1A1
232805    chr5 148928409 148944972             CSNK1A1
234024    chr5 148927297 148944917             CSNK1A1
234155    chr5 148928876 148945398             CSNK1A1
242985    chr5 148922479 148943475             CSNK1A1
245734    chr5 148862963 148945305             CSNK1A1
250850    chr5 148922469 148945249             CSNK1A1
260469    chr5 148914765 148944931             CSNK1A1
264585    chr5 148926337 148944514             CSNK1A1
269333    chr5 148927699 148943238             CSNK1A1
270362    chr5 148928550 148943410             CSNK1A1
282039    chr5 148927594 148944989             CSNK1A1
293880    chr5 148928707 148943164             CSNK1A1
298619    chr5 148922623 148944494             CSNK1A1
299482    chr5 148922367 148944652             CSNK1A1
301416    chr5 148928499 148944543             CSNK1A1
302925    chr5 148924787 148945945             CSNK1A1
305862    chr5 148926376 148944691             CSNK1A1
308386    chr5 148928695 148943014             CSNK1A1
308760    chr5 148926177 148945132             CSNK1A1
310433    chr5 148926005 148945022             CSNK1A1
311643    chr5 148928894 148943283             CSNK1A1
313044    chr5 148928897 148944577             CSNK1A1
314279    chr5 148928733 148943787             CSNK1A1
315661    chr5 148893875 148945406             CSNK1A1
318346    chr5 148926339 148944270             CSNK1A1
321407    chr5 148922324 148945112             CSNK1A1
323234    chr5 148928408 148944820             CSNK1A1
323469    chr5 148928616 148945404             CSNK1A1
323829    chr5 148928444 148945179             CSNK1A1
329310    chr5 148928118 148945644             CSNK1A1
23401     chr6   4441000   4519891                CDYL
135930    chr6   7558268   7586827             SNRNP48
147137    chr6   7528561   7571080                 DSP
269477    chr6   7532084   7588668                 DSP
302094    chr6   7526984   7571129                 DSP
286289    chr6  11085453  11096896           LOC221710
184312    chr6  17903523  18006550              KIF13A
185675    chr6  17904691  17998904              KIF13A
273199    chr6  17923147  17999314              KIF13A
411       chr6  52734876  52776692               GSTA3
24294     chr6  52746630  52790056               GSTA3
24104     chr6  52971695  53034459                GCM1
111587    chr6  90174079  90234117              ANKRD6
113368    chr6  90162245  90246614              ANKRD6
116713    chr6  90180592  90234087              ANKRD6
111587.1  chr6  90174079  90234117              ANKRD6
113368.1  chr6  90162245  90246614              ANKRD6
116713.1  chr6  90180592  90234087              ANKRD6
111587.2  chr6  90174079  90234117              ANKRD6
113368.2  chr6  90162245  90246614              ANKRD6
116713.2  chr6  90180592  90234087              ANKRD6
23986     chr6 110188377 110223205                FIG4
58105     chr6 110193499 110217465                GPR6
152888    chr6 110193851 110218521                FIG4
105481    chr6 113752743 113779923              MARCKS
231163    chr6 113753181 113787414              MARCKS
45417     chr6 116686300 116720799                 DSE
51771     chr6 116684545 116720697                 DSE
54737     chr6 116684489 116720642                 DSE
111311    chr6 116690990 116737409                 DSE
126619    chr6 116673278 116720218                 DSE
129970    chr6 116684202 116720536                 DSE
139353    chr6 116673005 116748368                 DSE
147564    chr6 116686763 116720032                 DSE
148616    chr6 116686610 116720493                 DSE
149128    chr6 116683219 116715708                 DSE
150790    chr6 116682305 116748327                 DSE
153535    chr6 116686233 116720310                 DSE
156605    chr6 116633663 116746603                 DSE
185294    chr6 116672135 116746817                 DSE
185579    chr6 116695077 116747436                 DSE
250381    chr6 116672991 116745820                 DSE
260025    chr6 116672872 116746312                 DSE
262000    chr6 116690063 116740955                 DSE
262884    chr6 116695141 116734176                 DSE
302618    chr6 116685914 116720960                 DSE
305587    chr6 116684535 116740753                 DSE
323229    chr6 116694446 116709960                 DSE
323478    chr6 116686478 116720369                 DSE
260043    chr6 117920331 117941042                GOPC
61281     chr6 139997552 140102962           LOC645434
184006    chr6 151167072 151275660             MTHFD1L
166935    chr6 158167339 158198011                SNX9
168128    chr6 158167339 158198011                SNX9
300086    chr6 158167361 158202046                SNX9
248002    chr7   8352500   8419408                ICA1
249596    chr7   8244285   8444314                ICA1
189157    chr7  54945249  55039229                EGFR
199180    chr7  54999192  55019778                EGFR
212363    chr7  54999361  55047117                EGFR
185095    chr7  80057549  80138426                CD36
202174    chr7  80079827  80130414               GNAT3
240904    chr7  80094510  80139050               GNAT3
259259    chr7  80095622  80147276               GNAT3
264621    chr7  80079564  80158551               GNAT3
264621.1  chr7  80079564  80158551               GNAT3
91099     chr7 101038721 101108967               EMID2
99613     chr7 101005736 101086639               EMID2
164590    chr7 152181979 152252009        LOC100128822
23910     chr8    563079    587834             C8ORF42
150326    chr8  19931246  19984483            ATP6V1B2
259565    chr8  19935142  19977980            ATP6V1B2
70218     chr8  38558006  38598098               TACC1
70849     chr8  38558916  38598227               TACC1
71549     chr8  38557958  38599764               TACC1
72551     chr8  38558173  38598372               TACC1
74392     chr8  38558123  38599721               TACC1
75384     chr8  38558203  38599404               TACC1
80021     chr8  38558020  38600114               TACC1
82352     chr8  38558458  38665141               TACC1
84488     chr8  38569531  38595089               TACC1
86264     chr8  38560322  38596264               TACC1
87375     chr8  38558841  38598594               TACC1
89119     chr8  38569299  38594951               TACC1
89901     chr8  38558012  38599400               TACC1
108100    chr8  38578420  38672974               TACC1
204652    chr8  38559036  38595057               TACC1
243689    chr8  38570025  38651352               TACC1
23357     chr8 103612855 103699073               KLF10
261160    chr9  78946490  78994196                 RFK
24617     chr9  78977412  79016602                 RFK
329325    chr9  78983907  79010943                 RFK
175173    chr9  81581897  81644404                TLE4
309148    chr9  81578727  81644728                TLE4
309825    chr9  81590638  81645004                TLE4
108487    chr9  86868726  86912421                RMI1
120345    chr9  86868449  86931082                RMI1
23762     chr9 113335099 113370075               SVEP1
184621    chr9 113367674 113423552                MUSK
134228    chr1  24861626  24916403            C1ORF130
190233    chr1  24862295  24916240            C1ORF130
316402    chr1  24863064  24919006            C1ORF130
109981    chr1  62640434  62700211               L1TD1
259017    chr1  62693474  62717434                USP1
112335    chr1 109383918 109389919               GPSM2
116931    chr1 109385097 109389918               GPSM2
130286    chr1 109357806 109389830              AKNAD1
153757    chr1 109358265 109389810           LOC642864
255231    chr1 109372152 109403030              AKNAD1
24466     chr1 116990205 117011326            ATP1A1OS
147083    chr1 116990659 117039794            ATP1A1OS
263595    chr1 116990526 117028503            ATP1A1OS
307390    chr1 116991200 117011485            ATP1A1OS
62743     chr1 117161117 117187256               IGSF3
254395    chr1 117159822 117192890               IGSF3
114167    chr1 151552955 151567271               SNX27
108185    chr1 176467820 176537542               RFWD2
120867    chr1 176482873 176506190              PAPPA2
41539     chr1 229149396 229168817               RAB4A
23649    chr10  47651572  47688249              ZNF488
146608   chr10  47616635  47698054              ANTXRL
167562   chr10  47592259  47686793              ANTXRL
223345   chr10  47626429  47684474              ANTXRL
66859    chr10 104477283 104598237            C10ORF26
88941    chr10 105244669 105276291               NEURL
91308    chr10 105249614 105292486               NEURL
107163   chr10 105239955 105278177               NEURL
160188   chr10 105240293 105360519               NEURL
303837   chr10 105241180 105352634               NEURL
23510    chr10 105269517 105330005               NEURL
88716    chr10 105301977 105382856               NEURL
89433    chr10 105302720 105458419               NEURL
106845   chr10 105302376 105379229               NEURL
108037   chr10 105301883 105375511               NEURL
119974   chr10 105300506 105371019               NEURL
160188.1 chr10 105240293 105360519               NEURL
207216   chr10 105303304 105353221               NEURL
248824   chr10 105300867 105352754               NEURL
252333   chr10 105301113 105352783               NEURL
254882   chr10 105301702 105342679               NEURL
291393   chr10 105304730 105357598              CALHM2
301683   chr10 105302657 105676079            SH3PXD2A
303837.1 chr10 105241180 105352634               NEURL
667      chr10 112127265 112190767              SMNDC1
13293    chr10 112154632 112176416               DUSP5
23605    chr10 112154985 112191305               DUSP5
37094    chr10 112151833 112191769               DUSP5
38631    chr10 112152157 112189535               DUSP5
45559    chr10 112157209 112186566               DUSP5
47932    chr10 112155010 112177495               DUSP5
48147    chr10 112151794 112192470               DUSP5
51548    chr10 112168689 112182084               DUSP5
52573    chr10 112157290 112180905               DUSP5
55476    chr10 112154876 112180860               DUSP5
58667    chr10 112167181 112187426               DUSP5
62140    chr10 112154512 112186866               DUSP5
62870    chr10 112154727 112187509               DUSP5
92184    chr10 112155943 112187116               DUSP5
92410    chr10 112154764 112189013               DUSP5
93010    chr10 112152026 112188229               DUSP5
94054    chr10 112152023 112190520               DUSP5
95539    chr10 112155011 112187303               DUSP5
95853    chr10 112155851 112187303               DUSP5
100514   chr10 112154705 112193128               DUSP5
104694   chr10 112134909 112186800              SMNDC1
105727   chr10 112157704 112186941               DUSP5
107389   chr10 112152059 112222295               DUSP5
108738   chr10 112151896 112194908               DUSP5
120746   chr10 112154149 112222182               DUSP5
123495   chr10 112154523 112186699               DUSP5
126415   chr10 112152014 112187444               DUSP5
134421   chr10 112157315 112180525               DUSP5
135013   chr10 112157328 112175496               DUSP5
139237   chr10 112155154 112181417               DUSP5
139493   chr10 112148386 112191888               DUSP5
141174   chr10 112146810 112194392               DUSP5
150363   chr10 112135679 112191336               DUSP5
151930   chr10 112148341 112187444               DUSP5
156425   chr10 112158348 112188040               DUSP5
158604   chr10 112068912 112187456              SMNDC1
159758   chr10 112158570 112187412               DUSP5
161623   chr10 112154941 112187260               DUSP5
161957   chr10 112168828 112176565               DUSP5
